dataset   ,coarsening_method       ,coarsening_ratio ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr    ,ave_time             ,top_10_loss                                    ,best_loss
chameleon ,kron                    ,             0.3 ,True        ,False        ,False          ,   512 ,   1 ,         2 ,       128 ,0.01  ,0.04931902885437012  ,0.39740725258670556 +/- 0.0                    ,0.39740725258670556
chameleon ,kron                    ,             0.3 ,True        ,False        ,False          ,   512 ,   1 ,         2 ,       128 ,0.01  ,0.052509307861328125 ,0.399137171770954 +/- 0.0                      ,0.399137171770954
chameleon ,kron                    ,             0.3 ,True        ,False        ,False          ,   512 ,   1 ,         2 ,       128 ,0.01  ,0.04938983917236328  ,0.4129573738374505 +/- 0.0                     ,0.4129573738374505
chameleon ,kron                    ,             0.3 ,True        ,False        ,False          ,   512 ,   1 ,         2 ,       128 ,0.01  ,0.04890727996826172  ,0.39547982295929085 +/- 0.0                    ,0.39547982295929085
chameleon ,kron                    ,             0.3 ,True        ,False        ,False          ,   512 ,   1 ,         2 ,       128 ,0.01  ,0.03697824478149414  ,0.10214824695202786 +/- 0.0                    ,0.10214824695202786
chameleon ,variation_neighborhoods ,             0.5 ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01  ,0.018568670749664305 ,0.058786244103453324 +/- 0.0007503226689547207 ,0.057526869660588495
chameleon ,variation_neighborhoods ,             0.7 ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01  ,0.029033136367797852 ,0.04104058925838068 +/- 0.0010238031547630687  ,0.03964504224185031

chameleon ,variation_neighborhoods ,             0.5 ,True        ,False        ,False          ,   512 ,  20 ,         2 ,       128 ,0.001 ,0.019147074222564696 ,0.06015556294772029 +/- 0.001759615924372206   ,0.056362234267996664
chameleon ,variation_neighborhoods ,             0.7 ,True        ,False        ,False          ,   512 ,  20 ,         2 ,       128 ,0.001 ,0.029387462139129638 ,0.044161276967334503 +/- 0.0008538972251846639 ,0.04248890966580497
chameleon ,algebraic_JC            ,             0.5 ,True        ,False        ,False          ,   512 ,  20 ,         2 ,       128 ,0.001 ,0.039445555210113524 ,0.061484515121412064 +/- 0.001790106669656998  ,0.05847754783445699
chameleon ,algebraic_JC            ,             0.7 ,True        ,False        ,False          ,   512 ,  20 ,         2 ,       128 ,0.001 ,0.04410520792007446  ,0.045480527738875356 +/- 0.0007887196376662835 ,0.04398003640886964
chameleon ,kron                    ,             0.5 ,True        ,False        ,False          ,   512 ,  20 ,         2 ,       128 ,0.001 ,0.040263938903808597 ,0.06729562830053992 +/- 0.001998534164004299   ,0.0634956206754948
chameleon ,kron                    ,             0.7 ,True        ,False        ,False          ,   512 ,  20 ,         2 ,       128 ,0.001 ,0.051598310470581055 ,0.04584674613613728 +/- 0.000969204161341292   ,0.04463215995171573
chameleon ,variation_neighborhoods ,             0.5 ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01  ,0.03721987009048462  ,0.05823606142891178 +/- 0.0008470192724305026  ,0.05622497362874099
