dataset ,coarsening_method       ,coarsening_ratio ,experiment ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr     ,ave_acc                                      ,ave_time              ,top_10_acc                                   ,best_acc ,top_10_loss                                   ,best_loss
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.635 +/- 0.0                                ,0.02714371681213379   ,0.635 +/- 0.0                                ,   0.635 ,0.1382328470547994 +/- 0.0                    ,0.1382328470547994
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.59 +/- 0.0                                 ,0.027715444564819336  ,0.59 +/- 0.0                                 ,   0.59  ,0.13665915528933206 +/- 0.0                   ,0.13665915528933206
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.68 +/- 0.0                                 ,0.03662300109863281   ,0.68 +/- 0.0                                 ,   0.68  ,0.13644294937451681 +/- 0.0                   ,0.13644294937451681
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.635 +/- 0.0                                ,0.02605748176574707   ,0.635 +/- 0.0                                ,   0.635 ,0.1353130837281545 +/- 0.0                    ,0.1353130837281545
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7610500000000001 +/- 0.017970740107185364  ,0.031149125099182128  ,0.7753000000000001 +/- 0.010383159442096621  ,   0.794 ,0.6034680193120783 +/- 0.05032784042526247    ,0.4844714945012873
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7706500000000001 +/- 0.01209659042871173   ,0.016554737091064455  ,0.7802 +/- 0.005963220606350235              ,   0.796 ,0.8001693044389997 +/- 0.0661489636039463     ,0.7143094880240304
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.6878 +/- 0.013724430771438175              ,0.006541407108306885  ,0.6989 +/- 0.008455175929571162              ,   0.714 ,2.476572450002034 +/- 0.2777183103625007      ,1.8964355786641438
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.6003999999999999 +/- 0.038101705998550776  ,0.006384861469268799  ,0.6236 +/- 0.010716342659695061              ,   0.643 ,5.075693130493163 +/- 0.7485313962905591      ,3.5560919443766275
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.73075 +/- 0.009522998477370464             ,0.013385617733001709  ,0.7386999999999999 +/- 0.0063882705014737815 ,   0.749 ,1.0147176333836145 +/- 0.09847339067788481    ,0.8066470963614327
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.751 +/- 0.0                                ,0.266218900680542     ,0.751 +/- 0.0                                ,   0.751 ,0.4780648404901678 +/- 0.0                    ,0.4780648404901678
